Tag	Count	First used	First video	Last used	Last video
judgement	1	2018-08-01	46bpGQXcKSU	2018-08-01	46bpGQXcKSU
grappling	2	2018-08-08	9-hEh7thG1Y	2018-09-10	SNfRtn8mCAU
dichotomy	1	2018-08-16	zykkngRWy_A	2018-08-16	zykkngRWy_A
new book	1	2018-08-16	zykkngRWy_A	2018-08-16	zykkngRWy_A
amazon	1	2018-08-16	zykkngRWy_A	2018-08-16	zykkngRWy_A
Japan	1	2018-08-22	YMktUe8LSWE	2018-08-22	YMktUe8LSWE
bataan march	1	2018-08-22	YMktUe8LSWE	2018-08-22	YMktUe8LSWE
filipines	1	2018-08-22	YMktUe8LSWE	2018-08-22	YMktUe8LSWE
philipines	1	2018-08-22	YMktUe8LSWE	2018-08-22	YMktUe8LSWE
kipling	1	2018-09-05	8ZR_T5gW7QE	2018-09-05	8ZR_T5gW7QE
questions	3	2018-09-05	8ZR_T5gW7QE	2019-05-10	Fj_mA4znl4o
industry	1	2018-09-10	SNfRtn8mCAU	2018-09-10	SNfRtn8mCAU
gi	1	2018-09-10	SNfRtn8mCAU	2018-09-10	SNfRtn8mCAU
kimono	1	2018-09-10	SNfRtn8mCAU	2018-09-10	SNfRtn8mCAU
apparel company	1	2018-09-10	SNfRtn8mCAU	2018-09-10	SNfRtn8mCAU
ceo	1	2018-09-10	SNfRtn8mCAU	2018-09-10	SNfRtn8mCAU
sla marshall	1	2018-09-12	UY4qg1tNShw	2018-09-12	UY4qg1tNShw
pbs	1	2018-09-26	c6tNzy2RfVE	2018-09-26	c6tNzy2RfVE
vietnam primer	1	2018-09-26	c6tNzy2RfVE	2018-09-26	c6tNzy2RfVE
soviet	1	2018-10-04	bkhKtGZHn2A	2018-10-04	bkhKtGZHn2A
field manual	4	2018-10-04	bkhKtGZHn2A	2020-12-19	sd9x2I0AhAs
principles of	1	2018-10-04	bkhKtGZHn2A	2018-10-04	bkhKtGZHn2A
FM FM 6-4	1	2018-10-04	bkhKtGZHn2A	2018-10-04	bkhKtGZHn2A
success	2	2018-10-10	-BPt2pqawHs	2019-05-15	HL1LBA6D37E
talent	1	2018-10-10	-BPt2pqawHs	2018-10-10	-BPt2pqawHs
money	1	2018-10-10	-BPt2pqawHs	2018-10-10	-BPt2pqawHs
happiness	1	2018-10-10	-BPt2pqawHs	2018-10-10	-BPt2pqawHs
relationships	1	2018-10-20	HujsR8viPbI	2018-10-20	HujsR8viPbI
team building	1	2018-10-20	HujsR8viPbI	2018-10-20	HujsR8viPbI
up the chain	1	2018-10-20	HujsR8viPbI	2018-10-20	HujsR8viPbI
latrine	1	2018-10-24	_K9ICXapatg	2018-10-24	_K9ICXapatg
surfing	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
shaping	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
surfboards	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
waves	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
draft	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
the draft	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
implement change	1	2018-11-16	B_ExqPea_6I	2018-11-16	B_ExqPea_6I
the path	1	2018-11-16	B_ExqPea_6I	2018-11-16	B_ExqPea_6I
